case,spp,cull,atomics,rays_m,gpu_deform_ms,gpu_flux_ms,gpu_scene_ms,gpu_bloom_ms,gpu_post_ms,gpu_total_ms,wall_ms,fps,mray_per_s,s95_area_m2
spp16,16,1,0,0.063,0.019,0.082,0.041,0.048,0.011,0.203,1.054,948.9,771,117.82
spp64,64,1,0,0.253,0.020,0.086,0.042,0.05,0.010,0.207,1.059,944.7,2940,198.66
spp256,256,1,0,1.011,0.021,0.122,0.042,0.049,0.011,0.245,0.893,1120.1,8289,222.19
spp1024,1024,1,0,4.045,0.020,0.360,0.041,0.158,0.012,0.591,1.110,900.7,11236,226.84
ab_reference,1024,1,0,4.045,0.020,0.352,0.040,0.049,0.016,0.477,1.244,804.1,11491,226.84
ab_atomics,1024,1,1,4.045,0.019,0.365,0.040,0.136,0.011,0.572,1.096,912.3,11082,226.84
ab_nocull,1024,0,0,4.045,0.021,0.355,0.041,0.05,0.014,0.481,1.154,866.7,11394,226.84
ab_atomics64,64,1,1,0.253,0.019,0.086,0.041,0.049,0.011,0.206,0.987,1012.7,2940,198.66
